organism,type,serine_count_mean,serine_count_sd,serine_fraction_mean,serine_fraction_sd,length_mean,length_sd
Drosophila mojavensis,heavy chain,64.000,0.000,10.273,0.000,623.000,0.000
Drosophila montana,heavy chain,54.000,0.000,9.765,0.000,553.000,0.000
Drosophila nasuta,heavy chain,84.000,16.971,14.719,4.419,579.500,58.690
Drosophila navojoa,heavy chain,96.500,60.014,16.592,1.730,611.000,446.388
Drosophila novamexicana,heavy chain,80.556,8.016,1.934,1.533,4944.722,1091.033
Drosophila obscura,heavy chain,86.667,17.898,15.221,3.995,576.333,39.804
Drosophila persimilis,heavy chain,127.500,88.388,16.657,8.778,726.500,147.785
Drosophila pseudoobscura,heavy chain,136.000,103.238,12.817,3.916,984.000,504.874
Drosophila rhopaloa,heavy chain,78.444,13.164,14.209,1.473,552.000,70.571
Drosophila santomea,heavy chain,83.000,13.077,14.481,2.760,576.000,23.302
Drosophila sechellia,heavy chain,127.800,65.511,14.866,2.083,838.000,359.036
Drosophila serrata,heavy chain,71.000,0.000,11.833,0.000,600.000,0.000
Drosophila simulans,heavy chain,77.200,12.795,13.878,2.067,556.000,37.014
Drosophila subobscura,heavy chain,89.700,69.890,12.923,5.396,631.000,249.604
Drosophila subpulchrella,heavy chain,63.833,27.802,12.113,4.356,520.667,126.800
Drosophila sulfurigaster albostrigata,heavy chain,69.000,0.000,10.781,0.000,640.000,0.000
Drosophila teissieri,heavy chain,84.000,21.213,14.446,4.220,585.000,24.042
Drosophila virilis,heavy chain,76.250,21.838,3.619,4.101,4094.750,2413.121
Drosophila willistoni,heavy chain,57.500,23.335,12.927,0.544,449.000,199.404
Drosophila yakuba,heavy chain,85.000,13.892,14.992,3.057,570.667,27.791
Episyrphus balteatus,heavy chain,104.750,70.320,10.777,10.884,1084.250,782.789
Eupeodes corollae,heavy chain,153.500,6.364,8.750,0.116,1754.000,49.497
Eurosta solidaginis,heavy chain,145.333,2.887,8.268,0.105,1757.667,12.702
Hermetia illucens,heavy chain,119.333,133.976,11.538,6.323,831.667,614.603
Lucilia sericata,heavy chain,107.667,9.815,12.309,4.045,983.667,497.390
Malaya genurostris,heavy chain,32.143,2.610,10.777,0.440,298.571,25.890
Musca domestica,heavy chain,146.182,100.821,11.570,5.937,1348.273,542.196
Musca vetustissima,heavy chain,305.667,355.419,13.742,6.488,1969.333,1563.701
Ochlerotatus camptorhynchus,heavy chain,30.000,0.000,10.345,0.000,290.000,0.000
Phlebotomus argentipes,heavy chain,48.000,1.414,15.495,0.392,310.000,16.971
Rhagoletis pomonella,heavy chain,37.000,0.000,10.850,0.000,341.000,0.000
Rhagoletis zephyria,heavy chain,81.000,59.397,8.328,1.386,1046.500,887.419
Scaptodrosophila lebanonensis,heavy chain,47.000,0.000,9.144,0.000,514.000,0.000
